op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
RESHAPE,1221,163840.0,0.0,0.0,0.0,0.0,0.81099534,-6,pf_net_dense/cg_id_1/cg_id_1_ffn_dist/cg_id_1_ffn_dist_dense_2/Tensordot
ADD,1225,163840.0,0.22510734,-0.004553535,0.38341093,0.05069404,0.8094904,-5,pf_net_dense/cg_id_1/cg_id_1_ffn_dist/cg_id_1_ffn_dist_dense_2/BiasAdd
RESHAPE,1238,163840.0,0.092652366,0.099005744,0.19538403,0.0183866,0.4242838,-126,pf_net_dense/cg_id_1/cg_id_1_ffn_dist/cg_id_1_ffn_dist_dense_3/Tensordot/Reshape
FULLY_CONNECTED,1242,327680.0,0.352629,0.05114743,0.83451796,0.12696329,1.3258544,63,pf_net_dense/cg_id_1/cg_id_1_ffn_dist/cg_id_1_ffn_dist_dense_3/Tensordot/MatMul1
RESHAPE,1246,327680.0,0.0,0.0,0.0,0.0,1.3258544,63,pf_net_dense/cg_id_1/cg_id_1_ffn_dist/cg_id_1_ffn_dist_dense_3/Tensordot
ADD,1250,327680.0,0.35295242,-0.08230497,0.65771484,0.13134955,1.3241012,63,pf_net_dense/cg_id_1/cg_id_1_ffn_dist/cg_id_1_ffn_dist_dense_3/BiasAdd
FULLY_CONNECTED,1256,2560.0,0.0,0.0014295578,0.0014295578,2.043635e-06,0.11388222,0,pf_net_dense/cg_id_1/message_building_layer_lsh_1/MatMul1
GATHER,1273,327680.0,0.04428353,0.00036354363,0.15043259,0.0019611642,0.33771408,-125,pf_net_dense/cg_id_1/message_building_layer_lsh_1/GatherV2;pf_net_dense/Const_1
GATHER,1277,2560.0,0.0,0.0,0.0,0.0,0.003921569,-128,pf_net_dense/cg_id_1/message_building_layer_lsh_1/GatherV2_2;pf_net_dense/Const_1
MUL,1281,327680.0,0.0,0.0,0.0,0.0,0.33771408,-125,pf_net_dense/cg_id_1/message_building_layer_lsh_1/cg_id_1_kernel/mul
SUM,1287,2560.0,0.0,0.0,0.0,0.0,285.25882,-128,Sum1
